Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0.0,0.07,0.72,76.0,4.2
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.04,0.72,83.0,8.1
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,0.72,83.0,7.7
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.07,0.72,74.0,6.4
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,93.0,9.3
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73.0,7.8
Skylanders: Trap Team,WiiU,2014,Action,Activision,0.38,0.26,0.0,0.06,0.7,86.0,7.1
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,78.0,7.5
Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.69,76.0,7.4
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69,75.0,5.8
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68,67.0,7.1
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,7.8
The Evil Within,XOne,2014,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,7.3
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,7.1
Terraria,X360,2013,Action,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,7.2
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,6.3
Rayman Legends,WiiU,2013,Platform,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,8.7
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,8.5
One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,7.8
LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.38,0.22,0.0,0.06,0.65,70.0,6.7
Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.65,73.0,8.3
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65,64.0,8.0
Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,0.32,0.16,0.01,0.15,0.64,64.0,7.6
Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,0.22,0.38,0.0,0.05,0.64,84.0,7.7
The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.23,0.03,0.05,0.64,68.0,7.7
WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.38,0.2,0.0,0.06,0.64,50.0,4.0
Football Manager 2014,PC,2013,Sports,Sega,0.0,0.6,0.0,0.03,0.64,85.0,5.5
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.22,0.32,0.0,0.1,0.64,88.0,7.7
The Crew,XOne,2014,Racing,Ubisoft,0.25,0.34,0.0,0.05,0.64,64.0,5.9
Evolve,XOne,2015,Shooter,Take-Two Interactive,0.37,0.2,0.0,0.06,0.64,74.0,5.1
Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.44,0.0,0.04,0.63,80.0,6.7
The Walking Dead: Survival Instinct,X360,2013,Shooter,Activision,0.46,0.11,0.0,0.05,0.63,32.0,4.0
Crysis 3,PC,2013,Shooter,Electronic Arts,0.17,0.39,0.0,0.07,0.63,76.0,6.5
NHL 16,PS4,2015,Sports,Electronic Arts,0.36,0.16,0.0,0.11,0.63,78.0,5.5
Mafia III,XOne,2016,Action,Take-Two Interactive,0.28,0.29,0.0,0.05,0.62,67.0,4.6
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,4.3
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75.0,7.6
Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,0.14,0.34,0.0,0.14,0.61,87.0,8.9
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,6.3
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43.0,3.6
Dead Island: Riptide,PS3,2013,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,62.0,5.9
Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60.0,5.1
Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,8.5
Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,71.0,7.6
LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,72.0,6.6
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,6.9
Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.31,0.23,0.0,0.05,0.6,72.0,7.6
NHL 15,PS4,2014,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,60.0,3.6
WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,72.0,5.7
Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,0.12,0.27,0.05,0.59,66.0,5.9
Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.38,0.15,0.0,0.05,0.58,89.0,6.0
Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,0.28,0.0,0.27,0.03,0.58,83.0,8.3
JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58,71.0,8.3
Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.34,0.0,0.1,0.58,91.0,8.7
Payday 2,X360,2013,Shooter,505 Games,0.33,0.19,0.0,0.05,0.57,75.0,6.3
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57,87.0,8.0
WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,56.0,5.7
Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.14,0.0,0.05,0.57,60.0,7.2
Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.27,0.25,0.0,0.05,0.57,73.0,6.9
Titanfall,PC,2014,Shooter,Electronic Arts,0.22,0.3,0.0,0.04,0.56,86.0,6.2
Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,77.0,6.8
Guitar Hero Live,XOne,2015,Misc,Activision,0.3,0.2,0.0,0.05,0.55,81.0,5.1
Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.13,0.24,0.1,0.07,0.55,75.0,7.7
Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.18,0.33,0.0,0.04,0.55,70.0,3.0
Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,0.35,0.12,0.0,0.08,0.54,75.0,8.3
NHL 14,PS3,2013,Sports,Electronic Arts,0.28,0.17,0.0,0.09,0.54,80.0,6.0
F1 2013,PS3,2013,Racing,Codemasters,0.01,0.42,0.03,0.09,0.54,77.0,6.3
Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,0.16,0.07,0.28,0.02,0.54,69.0,7.0
NHL 14,X360,2013,Sports,Electronic Arts,0.4,0.09,0.0,0.05,0.54,81.0,5.9
LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.3,0.18,0.0,0.05,0.53,62.0,6.5
Dragon's Crown,PS3,2013,Role-Playing,Nippon Ichi Software,0.25,0.07,0.17,0.05,0.53,82.0,8.3
Just Dance 2015,XOne,2014,Misc,Ubisoft,0.35,0.13,0.0,0.05,0.53,70.0,7.5
The LEGO Movie Videogame,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.13,0.0,0.05,0.53,69.0,6.9
Overwatch,PC,2016,Shooter,Activision,0.25,0.24,0.0,0.04,0.53,91.0,6.8
StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision,0.19,0.29,0.0,0.04,0.53,88.0,8.3
LEGO Jurassic World,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.27,0.19,0.02,0.04,0.52,71.0,8.1
Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,0.18,0.25,0.0,0.08,0.52,61.0,3.7
Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.18,0.24,0.02,0.08,0.52,68.0,6.6
Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo,0.22,0.13,0.12,0.04,0.52,73.0,8.0
Soul Sacrifice,PSV,2013,Role-Playing,Sony Computer Entertainment,0.15,0.08,0.22,0.06,0.51,77.0,8.2
The Walking Dead: Survival Instinct,PS3,2013,Shooter,Activision,0.28,0.15,0.0,0.08,0.51,34.0,3.6
Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0.0,0.04,0.51,78.0,7.8
Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,Fighting,Namco Bandai Games,0.29,0.16,0.01,0.05,0.51,70.0,7.7
Sonic Lost World,3DS,2013,Platform,Sega,0.24,0.14,0.07,0.03,0.49,59.0,6.5
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.2,0.21,0.0,0.08,0.49,81.0,7.7
Pokemon Art Academy ,3DS,2014,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49,76.0,7.7
Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo,0.17,0.1,0.18,0.03,0.49,81.0,7.4
Skylanders: SuperChargers,WiiU,2015,Action,Activision,0.25,0.19,0.0,0.04,0.48,87.0,5.6
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.29,0.15,0.0,0.04,0.48,80.0,8.1
Mario Golf: World Tour,3DS,2014,Sports,Nintendo,0.15,0.13,0.17,0.03,0.48,78.0,8.2
Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment,0.3,0.14,0.0,0.04,0.48,82.0,7.8
NHL 16,XOne,2015,Sports,Electronic Arts,0.38,0.05,0.0,0.05,0.48,80.0,6.0
Rock Band 4,XOne,2015,Misc,Harmonix Music Systems,0.38,0.04,0.0,0.05,0.47,79.0,6.4
World of Warcraft: Warlords of Draenor,PC,2014,Action,Activision Blizzard,0.08,0.36,0.0,0.03,0.47,87.0,5.9
EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0.0,0.04,0.47,70.0,6.3
One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.09,0.22,0.1,0.06,0.46,74.0,7.4
Football Manager 2015,PC,2014,Simulation,Sega,0.0,0.44,0.0,0.03,0.46,80.0,6.0
Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0.0,0.04,0.45,71.0,7.0
LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.21,0.0,0.04,0.45,70.0,8.7
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45,85.0,7.6
Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.13,0.29,0.0,0.03,0.45,81.0,8.2
Deadpool,PS3,2013,Action,Activision,0.23,0.14,0.0,0.08,0.45,61.0,7.2
Watch Dogs,PC,2014,Action,Ubisoft,0.15,0.26,0.0,0.03,0.45,77.0,4.7
Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo,0.13,0.15,0.14,0.02,0.44,58.0,5.3
Skylanders: Trap Team,PS4,2014,Action,Activision,0.19,0.18,0.0,0.07,0.44,78.0,5.6
DmC: Devil May Cry,X360,2013,Action,Capcom,0.26,0.12,0.01,0.04,0.44,86.0,5.1
Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,0.26,0.13,0.0,0.04,0.43,80.0,7.8
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,Namco Bandai Games,0.15,0.14,0.09,0.06,0.43,73.0,7.5
Deadpool,X360,2013,Action,Activision,0.26,0.13,0.0,0.04,0.43,62.0,7.4
Lego Batman 3: Beyond Gotham,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0.0,0.04,0.43,74.0,7.1
MLB 14: The Show,PS3,2014,Sports,Sony Computer Entertainment America,0.35,0.0,0.0,0.08,0.43,81.0,6.8
Payday 2,PS3,2013,Shooter,505 Games,0.22,0.14,0.0,0.08,0.43,74.0,6.2
Hometown Story,3DS,2013,Role-Playing,Rising Star Games,0.23,0.12,0.04,0.04,0.43,47.0,6.0
Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks,0.1,0.25,0.02,0.06,0.43,76.0,8.0
Rayman Legends,X360,2013,Platform,Ubisoft,0.19,0.2,0.0,0.04,0.43,90.0,8.2
2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.15,0.25,0.0,0.03,0.42,74.0,4.4
Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.17,0.0,0.1,0.42,61.0,6.8
Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.22,0.01,0.07,0.42,79.0,7.2
Story of Seasons,3DS,2014,Simulation,Nintendo,0.0,0.14,0.27,0.01,0.42,76.0,8.2
Metro: Last Light,PS3,2013,Action,Deep Silver,0.14,0.18,0.03,0.07,0.42,80.0,8.2
Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,0.42,75.0,6.8
Attack on Titan: Humanity in Chains,3DS,2013,Action,Screenlife,0.0,0.0,0.42,0.0,0.42,46.0,4.5
Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46.0,4.4
Just Dance 2014,PS4,2013,Misc,Ubisoft,0.19,0.16,0.0,0.07,0.41,75.0,5.5
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.24,0.14,0.0,0.04,0.41,76.0,6.0
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.05,0.31,0.0,0.06,0.41,69.0,8.7
Terraria,PS3,2013,Action,505 Games,0.07,0.2,0.09,0.05,0.41,81.0,7.9
LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.15,0.0,0.04,0.41,80.0,6.9
NHL 15,XOne,2014,Sports,Electronic Arts,0.31,0.06,0.0,0.04,0.41,59.0,3.2
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.22,0.15,0.0,0.04,0.41,79.0,5.8
F1 2014,PS3,2014,Racing,Codemasters,0.07,0.26,0.02,0.06,0.41,62.0,4.1
Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision,0.15,0.23,0.0,0.03,0.41,78.0,4.5
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4,72.0,6.8
Metal Gear Solid: The Legacy Collection,PS3,2013,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.06,0.4,93.0,9.0
Life is Strange,PS4,2016,Adventure,Square Enix,0.15,0.15,0.03,0.06,0.4,85.0,8.6
The Wonderful 101,WiiU,2013,Action,Nintendo,0.19,0.1,0.08,0.03,0.4,78.0,8.5
FIFA 14,PC,2013,Sports,Electronic Arts,0.01,0.36,0.0,0.03,0.4,87.0,4.6
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.26,0.09,0.0,0.04,0.39,87.0,8.6
Until Dawn: Rush of Blood,PS4,2016,Adventure,Sony Computer Entertainment,0.18,0.15,0.0,0.07,0.39,72.0,8.0
Sonic Lost World,WiiU,2013,Platform,Sega,0.23,0.12,0.01,0.03,0.39,63.0,7.3
Skylanders SWAP Force,PS4,2013,Platform,Activision,0.2,0.12,0.0,0.06,0.39,79.0,5.2
Just Dance 2015,PS4,2014,Misc,Ubisoft,0.19,0.13,0.0,0.07,0.39,72.0,5.8
One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.39,75.0,7.6
Farming Simulator 2013,X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0.0,0.04,0.38,33.0,6.2
Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,0.26,0.05,0.0,0.07,0.38,78.0,6.3
Battlefield 1,PC,2016,Shooter,Electronic Arts,0.11,0.24,0.0,0.03,0.38,88.0,7.6
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.11,0.21,0.0,0.06,0.38,84.0,7.6
Just Dance 2014,PS3,2013,Misc,Ubisoft,0.17,0.14,0.0,0.06,0.38,77.0,7.1
Wii Sports Club,WiiU,2014,Sports,Nintendo,0.17,0.14,0.04,0.03,0.38,68.0,7.0
GRID 2,PS3,2013,Racing,Codemasters,0.07,0.22,0.01,0.08,0.37,82.0,6.6
Tiger Woods PGA Tour 14,PS3,2013,Sports,Electronic Arts,0.16,0.14,0.0,0.07,0.37,74.0,3.8
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06,0.37,84.0,8.5
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,0.13,0.08,0.15,0.02,0.37,83.0,8.2
Rocket League,PS4,2016,Sports,505 Games,0.03,0.28,0.0,0.05,0.37,85.0,8.7
DiRT Rally,PS4,2016,Racing,Codemasters,0.04,0.27,0.0,0.05,0.37,85.0,8.1
Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.36,81.0,5.5
Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.17,0.1,0.07,0.03,0.36,69.0,7.4
Sword Art Online: Lost Song,PSV,2015,Role-Playing,Namco Bandai Games,0.06,0.04,0.23,0.03,0.36,70.0,7.1
Just Dance 2016,PS4,2015,Misc,Ubisoft,0.17,0.13,0.0,0.06,0.36,73.0,6.8
Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,0.36,57.0,4.8
Watch Dogs 2,XOne,2016,Action,Ubisoft,0.17,0.16,0.0,0.03,0.36,83.0,7.7
Dragon's Crown,PSV,2013,Role-Playing,Nippon Ichi Software,0.14,0.05,0.12,0.05,0.35,78.0,8.4
Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,0.04,0.02,0.27,0.01,0.35,69.0,7.5
Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.03,0.35,84.0,8.0
Tiger Woods PGA Tour 14,X360,2013,Sports,Electronic Arts,0.21,0.12,0.0,0.03,0.35,77.0,6.2
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.06,0.21,0.03,0.05,0.35,48.0,3.8
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35,66.0,7.8
Toukiden: The Age of Demons,PSV,2013,Action,Tecmo Koei,0.04,0.04,0.25,0.02,0.35,71.0,8.0
Metro: Last Light,X360,2013,Action,Deep Silver,0.17,0.15,0.0,0.03,0.35,80.0,8.4
Football Manager 2016,PC,2015,Simulation,Sega,0.0,0.33,0.0,0.02,0.35,81.0,6.9
Defiance,PS3,2013,Shooter,Trion Worlds,0.19,0.1,0.0,0.06,0.35,59.0,6.9
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0.0,0.03,0.35,71.0,5.1
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35,69.0,4.7
Sniper Elite 3,XOne,2014,Shooter,505 Games,0.2,0.11,0.0,0.03,0.35,63.0,6.6
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35,81.0,7.9
Call of Duty: Ghosts,WiiU,2013,Shooter,Activision,0.22,0.09,0.01,0.03,0.34,69.0,3.4
Company of Heroes 2,PC,2013,Strategy,THQ,0.06,0.25,0.0,0.04,0.34,80.0,2.1
Rayman Legends,XOne,2014,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34,91.0,7.9
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33,77.0,8.3
NHL 17,PS4,2016,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33,78.0,5.8
Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive,0.05,0.18,0.03,0.07,0.33,52.0,6.0
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33,61.0,6.6
Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,Nippon Ichi Software,0.09,0.05,0.15,0.04,0.33,80.0,8.1
Hatsune Miku: Project Mirai DX,3DS,2015,Misc,Sega,0.16,0.04,0.1,0.02,0.32,80.0,8.5
Just Dance 2016,XOne,2015,Misc,Ubisoft,0.25,0.04,0.0,0.03,0.32,66.0,6.1
Remember Me,PS3,2013,Action,Capcom,0.1,0.17,0.0,0.06,0.32,72.0,7.4
Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games,0.18,0.11,0.0,0.03,0.32,67.0,7.2
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.13,0.16,0.0,0.03,0.32,88.0,7.5
Hatsune Miku: Project Diva F 2nd,PSV,2014,Misc,Sega,0.08,0.05,0.16,0.04,0.32,81.0,8.4
Persona 4: Dancing All Night,PSV,2015,Misc,Nippon Ichi Software,0.09,0.04,0.15,0.04,0.32,76.0,8.6
Murdered: Soul Suspect,PS4,2014,Action,Square Enix,0.09,0.16,0.02,0.05,0.32,59.0,6.9
Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.02,0.31,74.0,7.5
Drakengard 3,PS3,2013,Role-Playing,Square Enix,0.1,0.0,0.19,0.02,0.31,61.0,7.7
Batman: Arkham Origins,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.19,0.09,0.0,0.03,0.31,68.0,7.4
Sonic Boom: Rise of Lyric,WiiU,2014,Action,Sega,0.19,0.09,0.0,0.03,0.31,32.0,3.6
Tropico 5,PS4,2015,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,0.31,76.0,7.1
LEGO Legends of Chima: Laval's Journey,3DS,2013,Adventure,Warner Bros. Interactive Entertainment,0.18,0.1,0.0,0.03,0.31,65.0,3.6
Skylanders: SuperChargers,PS4,2015,Action,Activision,0.17,0.08,0.0,0.05,0.31,81.0,3.3
Dragon Ball Z: Battle of Z,PS3,2014,Fighting,Namco Bandai Games,0.1,0.1,0.06,0.04,0.31,54.0,5.3
BlazBlue: Chrono Phantasma,PS3,2013,Fighting,Arc System Works,0.14,0.0,0.14,0.03,0.3,83.0,8.3
Mario Party: Star Rush,3DS,2016,Misc,Nintendo,0.08,0.13,0.08,0.02,0.3,68.0,6.8
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.21,0.07,0.0,0.03,0.3,81.0,8.5
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3,75.0,7.3
F1 2013,X360,2013,Racing,Codemasters,0.01,0.27,0.0,0.02,0.3,79.0,6.6
Sword Art Online: Hollow Fragment,PSV,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,67.0,7.6
Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.13,0.0,0.02,0.3,76.0,7.0
Deadpool,PS4,2015,Action,Activision,0.14,0.11,0.0,0.05,0.29,60.0,5.7
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0.0,0.22,0.04,0.04,0.29,72.0,6.6
Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.02,0.29,75.0,6.2
Sonic Boom: Shattered Crystal,3DS,2014,Action,Sega,0.17,0.09,0.0,0.03,0.29,47.0,6.3
Angry Birds Star Wars,PS3,2013,Strategy,Activision,0.1,0.14,0.0,0.05,0.29,49.0,3.6
Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,Konami Digital Entertainment,0.15,0.11,0.0,0.02,0.29,76.0,5.4
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.11,0.08,0.06,0.04,0.29,80.0,8.1
Assassin's Creed IV: Black Flag,WiiU,2013,Action,Ubisoft,0.17,0.09,0.0,0.03,0.29,86.0,7.7
FIFA 15,PC,2014,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28,82.0,4.2
Hatsune Miku: Project Diva f,PS3,2013,Misc,Sega,0.08,0.0,0.19,0.02,0.28,73.0,8.4
NES Remix,WiiU,2014,Action,Nintendo,0.17,0.0,0.08,0.02,0.28,71.0,7.1
Angry Birds Star Wars,X360,2013,Strategy,Activision,0.16,0.1,0.0,0.02,0.28,59.0,5.6
One Piece: Unlimited World Red,PS3,2014,Action,Namco Bandai Games,0.09,0.1,0.06,0.04,0.28,71.0,7.3
Army of Two: The Devil's Cartel,PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28,58.0,6.7
GRID 2,X360,2013,Racing,Codemasters,0.08,0.16,0.0,0.03,0.27,78.0,5.8
The Evil Within,PC,2014,Action,Bethesda Softworks,0.1,0.16,0.0,0.02,0.27,68.0,5.9
Rory McIlroy PGA Tour,XOne,2015,Action,Electronic Arts,0.16,0.09,0.0,0.02,0.27,60.0,4.3
LEGO The Hobbit,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0.0,0.02,0.27,69.0,6.8
Lightning Returns: Final Fantasy XIII,X360,2013,Role-Playing,Square Enix,0.15,0.08,0.01,0.02,0.27,69.0,6.6
Batman: Arkham Origins Blackgate,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0.0,0.02,0.27,68.0,6.8
Ultimate NES Remix,3DS,2014,Action,Unknown,0.15,0.09,0.0,0.02,0.27,69.0,7.6
Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0.0,0.04,0.26,73.0,8.5
Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.09,0.13,0.0,0.04,0.26,81.0,8.1
Etrian Odyssey Untold: The Millennium Girl,3DS,2013,Role-Playing,Atlus,0.1,0.01,0.14,0.01,0.26,80.0,8.2
WWE 2K17,XOne,2016,Sports,Take-Two Interactive,0.12,0.12,0.0,0.02,0.26,68.0,5.5
Project CARS,XOne,2015,Racing,Slightly Mad Studios,0.11,0.13,0.0,0.02,0.26,81.0,5.8
Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,68.0,6.8
Resident Evil: Revelations,X360,2013,Action,Capcom,0.12,0.1,0.02,0.02,0.26,75.0,7.4
