antecedents,consequents,support,confidence,lift
Score_Mid,"Genre_Shooter, Platform_PC",0.01641025641025641,0.03187250996015936,1.1098463289698348
"Genre_Shooter, Platform_PC",Score_Mid,0.01641025641025641,0.5714285714285714,1.1098463289698348
Score_Mid,Platform_PC,0.08615384615384615,0.16733067729083664,1.1023473672876063
Platform_PC,Score_Mid,0.08615384615384615,0.5675675675675675,1.1023473672876063
Genre_Action,"Score_Mid, Platform_PS3",0.020512820512820513,0.06472491909385113,1.088048208905256
"Score_Mid, Platform_PS3",Genre_Action,0.020512820512820513,0.3448275862068966,1.088048208905256
"Genre_Action, Platform_X360",Score_Mid,0.015384615384615385,0.5555555555555556,1.0790172642762283
Score_Mid,"Genre_Action, Platform_X360",0.015384615384615385,0.029880478087649404,1.0790172642762283
Genre_Action,Score_Mid,0.17435897435897435,0.5501618122977346,1.0685413685065563
Score_Mid,Genre_Action,0.17435897435897435,0.3386454183266932,1.0685413685065563
"Genre_Action, Platform_XOne",Score_Mid,0.028717948717948718,0.5490196078431373,1.0663229435200374
Score_Mid,"Genre_Action, Platform_XOne",0.028717948717948718,0.055776892430278883,1.0663229435200374
Genre_Action,Platform_PS4,0.08615384615384615,0.27184466019417475,1.0644519826880336
Platform_PS4,Genre_Action,0.08615384615384615,0.3373493975903614,1.0644519826880336
Platform_X360,"Score_Mid, Genre_Action",0.015384615384615385,0.1851851851851852,1.062091503267974
"Score_Mid, Genre_Action",Platform_X360,0.015384615384615385,0.08823529411764706,1.0620915032679739
Genre_Action,Platform_X360,0.027692307692307693,0.08737864077669903,1.051779935275081
Platform_X360,Genre_Action,0.027692307692307693,0.33333333333333337,1.051779935275081
Genre_Racing,Score_Low,0.021538461538461538,0.3559322033898305,1.0516178736517718
Score_Low,Genre_Racing,0.021538461538461538,0.06363636363636363,1.0516178736517718
"Genre_Action, Platform_XOne",Score_Low,0.018461538461538463,0.3529411764705883,1.0427807486631018
Score_Low,"Genre_Action, Platform_XOne",0.018461538461538463,0.05454545454545455,1.0427807486631018
Genre_Shooter,Score_High,0.020512820512820513,0.15151515151515152,1.0330578512396695
Score_High,Genre_Shooter,0.020512820512820513,0.13986013986013987,1.0330578512396695
Platform_PS4,Score_Mid,0.13538461538461538,0.5301204819277109,1.0296164738635818
Score_Mid,Platform_PS4,0.13538461538461538,0.26294820717131473,1.0296164738635818
"Genre_Shooter, Platform_PS4",Score_Mid,0.018461538461538463,0.5294117647058825,1.0282399812514649
Score_Mid,"Genre_Shooter, Platform_PS4",0.018461538461538463,0.035856573705179286,1.0282399812514649
Platform_XOne,Score_Mid,0.08923076923076922,0.5272727272727272,1.024085476276711
Score_Mid,Platform_XOne,0.08923076923076922,0.17330677290836652,1.024085476276711
Platform_PS4,"Score_Mid, Genre_Shooter",0.018461538461538463,0.07228915662650603,1.021477213200629
"Score_Mid, Genre_Shooter",Platform_PS4,0.018461538461538463,0.26086956521739135,1.021477213200629
Score_Mid,Genre_Racing,0.031794871794871796,0.061752988047808766,1.0204942940103991
Genre_Racing,Score_Mid,0.031794871794871796,0.5254237288135594,1.0204942940103991
Genre_Action,"Score_Mid, Platform_XOne",0.028717948717948718,0.09061488673139159,1.0155116616449058
"Score_Mid, Platform_XOne",Genre_Action,0.028717948717948718,0.3218390804597701,1.0155116616449058
Genre_Shooter,Score_Mid,0.07076923076923076,0.5227272727272727,1.0152571532053603
Score_Mid,Genre_Shooter,0.07076923076923076,0.13745019920318724,1.0152571532053603
Platform_XOne,"Genre_Action, Score_Low",0.018461538461538463,0.1090909090909091,1.012987012987013
"Genre_Action, Score_Low",Platform_XOne,0.018461538461538463,0.17142857142857143,1.0129870129870129
Genre_Shooter,Platform_PS4,0.03487179487179487,0.25757575757575757,1.0085797736400146
Platform_PS4,Genre_Shooter,0.03487179487179487,0.13654618473895583,1.0085797736400146
"Score_Mid, Platform_PS4",Genre_Shooter,0.018461538461538463,0.13636363636363638,1.007231404958678
Genre_Shooter,"Score_Mid, Platform_PS4",0.018461538461538463,0.13636363636363638,1.007231404958678
Score_Low,Genre_Action,0.1076923076923077,0.3181818181818182,1.0039717563989408
Genre_Action,Score_Low,0.1076923076923077,0.33980582524271846,1.0039717563989408
